Material;Dt.Saída;Nº Pedido;Requisitante / Destino;Unidade;Quantidade;Status
Álcool;14/05/2020;315518;Amapá;Litro;90;Entregue
Álcool;28/05/2020;316928;Amapá;Litro;180;Entregue
Álcool;19/03/2020;308757;Amazonas;Litro;38,4;Entregue
Álcool;19/03/2020;308757;Amazonas;Litro;198;Entregue
Álcool;25/03/2020;309484;Amazonas;Litro;38,4;Entregue
Álcool;25/03/2020;309484;Amazonas;Litro;198;Entregue
Álcool;28/03/2020;309984;Amazonas;Litro;105,6;Entregue
Álcool;28/03/2020;309984;Amazonas;Litro;72;Entregue
Álcool;31/03/2020;310594;Amazonas;Litro;336;Entregue
Álcool;10/04/2020;311345;Amazonas;Litro;54,6;Entregue
Álcool;15/04/2020;311876;Amazonas;Litro;15;Entregue
Álcool;15/04/2020;311876;Amazonas;Litro;16;Entregue
Álcool;15/04/2020;311876;Amazonas;Litro;633,5;Entregue
Álcool;23/04/2020;312975;Amazonas;Litro;3300;Entregue
Álcool;29/04/2020;313900;Amazonas;Litro;10002;Entregue
Álcool;30/04/2020;314002;Amazonas;Litro;4499;Entregue
Álcool;14/05/2020;315517;Amazonas;Litro;414;Entregue
Álcool;19/03/2020;308766;Bahia;Litro;144;Entregue
Álcool;19/03/2020;308766;Bahia;Litro;708;Entregue
Álcool;19/03/2020;308729;Bahia;Litro;12;Entregue
Álcool;25/03/2020;309489;Bahia;Litro;134,4;Entregue
Álcool;25/03/2020;309489;Bahia;Litro;678;Entregue
Álcool;28/03/2020;309986;Bahia;Litro;384;Entregue
Álcool;28/03/2020;309986;Bahia;Litro;246;Entregue
Álcool;31/03/2020;310596;Bahia;Litro;1188;Entregue
Álcool;10/04/2020;311346;Bahia;Litro;189;Entregue
Álcool;15/04/2020;311877;Bahia;Litro;60;Entregue
Álcool;15/04/2020;311877;Bahia;Litro;55;Entregue
Álcool;15/04/2020;311877;Bahia;Litro;2152,5;Entregue
Álcool;23/04/2020;312976;Bahia;Litro;11232;Entregue
Álcool;30/04/2020;314003;Bahia;Litro;15024;Entregue
Álcool;14/05/2020;315519;Bahia;Litro;1296;Entregue
Álcool;19/03/2020;308770;Ceará;Litro;86,4;Entregue
Álcool;19/03/2020;308770;Ceará;Litro;432;Entregue
Álcool;19/03/2020;308730;Ceará;Litro;12;Entregue
Álcool;25/03/2020;309490;Ceará;Litro;86,4;Entregue
Álcool;25/03/2020;309490;Ceará;Litro;420;Entregue
Álcool;28/03/2020;309987;Ceará;Litro;240;Entregue
Álcool;28/03/2020;309987;Ceará;Litro;162;Entregue
Álcool;31/03/2020;310597;Ceará;Litro;732;Entregue
Álcool;10/04/2020;311347;Ceará;Litro;105;Entregue
Álcool;15/04/2020;311878;Ceará;Litro;30;Entregue
Álcool;15/04/2020;311878;Ceará;Litro;30;Entregue
Álcool;15/04/2020;311878;Ceará;Litro;1193;Entregue
Álcool;23/04/2020;312977;Ceará;Litro;6222;Entregue
Álcool;30/04/2020;314004;Ceará;Litro;8322;Entregue
Álcool;14/05/2020;315520;Ceará;Litro;660;Entregue
Álcool;19/03/2020;308497;Distrito Federal;Litro;28,8;Entregue
Álcool;19/03/2020;308497;Distrito Federal;Litro;144;Entregue
Álcool;25/03/2020;309523;Distrito Federal;Litro;19,2;Entregue
Álcool;25/03/2020;309523;Distrito Federal;Litro;144;Entregue
Álcool;28/03/2020;309988;Distrito Federal;Litro;76,8;Entregue
Álcool;28/03/2020;309988;Distrito Federal;Litro;54;Entregue
Álcool;10/04/2020;311349;Distrito Federal;Litro;46,2;Entregue
Álcool;15/04/2020;311879;Distrito Federal;Litro;15;Entregue
Álcool;15/04/2020;311879;Distrito Federal;Litro;14;Entregue
Álcool;15/04/2020;311879;Distrito Federal;Litro;553,5;Entregue
Álcool;23/04/2020;312978;Distrito Federal;Litro;2886;Entregue
Álcool;30/04/2020;314005;Distrito Federal;Litro;149;Entregue
Álcool;30/04/2020;314005;Distrito Federal;Litro;3715;Entregue
Álcool;14/05/2020;315562;Distrito Federal;Litro;300;Entregue
Álcool;19/03/2020;308776;Espírito Santo;Litro;38,4;Entregue
Álcool;19/03/2020;308776;Espírito Santo;Litro;60;Entregue
Álcool;19/03/2020;308776;Espírito Santo;Litro;132;Entregue
Álcool;19/03/2020;308506;Espírito Santo;Litro;12;Entregue
Álcool;25/03/2020;309527;Espírito Santo;Litro;28,8;Entregue
Álcool;25/03/2020;309527;Espírito Santo;Litro;192;Entregue
Álcool;28/03/2020;309989;Espírito Santo;Litro;105,6;Entregue
Álcool;28/03/2020;309989;Espírito Santo;Litro;72;Entregue
Álcool;31/03/2020;310599;Espírito Santo;Litro;324;Entregue
Álcool;10/04/2020;311353;Espírito Santo;Litro;54,6;Entregue
Álcool;15/04/2020;311880;Espírito Santo;Litro;15;Entregue
Álcool;15/04/2020;311880;Espírito Santo;Litro;16;Entregue
Álcool;15/04/2020;311880;Espírito Santo;Litro;640;Entregue
Álcool;23/04/2020;312979;Espírito Santo;Litro;3336;Entregue
Álcool;30/04/2020;314006;Espírito Santo;Litro;4464;Entregue
Álcool;14/05/2020;315563;Espírito Santo;Litro;354;Entregue
Álcool;19/03/2020;308781;Goiás;Litro;67,2;Entregue
Álcool;19/03/2020;308781;Goiás;Litro;336;Entregue
Álcool;19/03/2020;308509;Goiás;Litro;12;Entregue
Álcool;25/03/2020;309524;Goiás;Litro;57,6;Entregue
Álcool;25/03/2020;309524;Goiás;Litro;324;Entregue
Álcool;28/03/2020;309990;Goiás;Litro;182,4;Entregue
Álcool;28/03/2020;309990;Goiás;Litro;126;Entregue
Álcool;31/03/2020;310600;Goiás;Litro;564;Entregue
Álcool;10/04/2020;311354;Goiás;Litro;79,8;Entregue
Álcool;15/04/2020;311881;Goiás;Litro;25;Entregue
Álcool;15/04/2020;311881;Goiás;Litro;23;Entregue
Álcool;15/04/2020;311881;Goiás;Litro;911,5;Entregue
Álcool;23/04/2020;312980;Goiás;Litro;4752;Entregue
Álcool;30/04/2020;314007;Goiás;Litro;6360;Entregue
Álcool;14/05/2020;315564;Goiás;Litro;588;Entregue
Álcool;19/03/2020;308785;Maranhão;Litro;67,2;Entregue
Álcool;19/03/2020;308785;Maranhão;Litro;336;Entregue
Álcool;19/03/2020;308732;Maranhão;Litro;12;Entregue
Álcool;25/03/2020;309491;Maranhão;Litro;67,2;Entregue
Álcool;25/03/2020;309491;Maranhão;Litro;324;Entregue
Álcool;28/03/2020;309991;Maranhão;Litro;182,4;Entregue
Álcool;28/03/2020;309991;Maranhão;Litro;126;Entregue
Álcool;31/03/2020;310601;Maranhão;Litro;570;Entregue
Álcool;10/04/2020;311356;Maranhão;Litro;88,2;Entregue
Álcool;15/04/2020;311882;Maranhão;Litro;15;Entregue
Álcool;15/04/2020;311882;Maranhão;Litro;10;Entregue
Álcool;15/04/2020;311882;Maranhão;Litro;25;Entregue
Álcool;15/04/2020;311882;Maranhão;Litro;988;Entregue
Álcool;23/04/2020;312981;Maranhão;Litro;5154;Entregue
Álcool;30/04/2020;314008;Maranhão;Litro;6894;Entregue
Álcool;14/05/2020;315565;Maranhão;Litro;648;Entregue
Álcool;19/03/2020;308799;Mato Grosso;Litro;28,8;Entregue
Álcool;19/03/2020;308799;Mato Grosso;Litro;168;Entregue
Álcool;19/03/2020;308522;Mato Grosso;Litro;12;Entregue
Álcool;25/03/2020;309526;Mato Grosso;Litro;28,8;Entregue
Álcool;25/03/2020;309526;Mato Grosso;Litro;168;Entregue
Álcool;28/03/2020;309994;Mato Grosso;Litro;86,4;Entregue
Álcool;28/03/2020;309994;Mato Grosso;Litro;60;Entregue
Álcool;31/03/2020;310602;Mato Grosso;Litro;282;Entregue
Álcool;10/04/2020;311358;Mato Grosso;Litro;42;Entregue
Álcool;15/04/2020;311883;Mato Grosso;Litro;15;Entregue
Álcool;15/04/2020;311883;Mato Grosso;Litro;13;Entregue
Álcool;15/04/2020;311883;Mato Grosso;Litro;494;Entregue
Álcool;23/04/2020;312982;Mato Grosso;Litro;2574;Entregue
Álcool;30/04/2020;314009;Mato Grosso;Litro;3444;Entregue
Álcool;14/05/2020;315568;Mato Grosso;Litro;300;Entregue
Álcool;19/03/2020;308797;Mato Grosso do Sul;Litro;28,8;Entregue
Álcool;19/03/2020;308797;Mato Grosso do Sul;Litro;72;Entregue
Álcool;19/03/2020;308797;Mato Grosso do Sul;Litro;60;Entregue
Álcool;19/03/2020;308515;Mato Grosso do Sul;Litro;12;Entregue
Álcool;25/03/2020;309525;Mato Grosso do Sul;Litro;19,2;Entregue
Álcool;25/03/2020;309525;Mato Grosso do Sul;Litro;132;Entregue
Álcool;28/03/2020;309993;Mato Grosso do Sul;Litro;76,8;Entregue
Álcool;28/03/2020;309993;Mato Grosso do Sul;Litro;48;Entregue
Álcool;31/03/2020;310603;Mato Grosso do Sul;Litro;222;Entregue
Álcool;10/04/2020;311360;Mato Grosso do Sul;Litro;46,2;Entregue
Álcool;15/04/2020;311884;Mato Grosso do Sul;Litro;15;Entregue
Álcool;15/04/2020;311884;Mato Grosso do Sul;Litro;14;Entregue
Álcool;15/04/2020;311884;Mato Grosso do Sul;Litro;530;Entregue
Álcool;23/04/2020;312983;Mato Grosso do Sul;Litro;2760;Entregue
Álcool;30/04/2020;314010;Mato Grosso do Sul;Litro;3696;Entregue
Álcool;14/05/2020;315567;Mato Grosso do Sul;Litro;294;Entregue
Álcool;19/03/2020;308790;Minas Gerais;Litro;201,6;Entregue
Álcool;19/03/2020;308790;Minas Gerais;Litro;1008;Entregue
Álcool;19/03/2020;308529;Minas Gerais;Litro;12;Entregue
Álcool;25/03/2020;309528;Minas Gerais;Litro;192;Entregue
Álcool;25/03/2020;309528;Minas Gerais;Litro;966;Entregue
Álcool;28/03/2020;309992;Minas Gerais;Litro;547,2;Entregue
Álcool;28/03/2020;309992;Minas Gerais;Litro;372;Entregue
Álcool;31/03/2020;310604;Minas Gerais;Litro;1752;Entregue
Álcool;10/04/2020;311361;Minas Gerais;Litro;327,6;Entregue
Álcool;15/04/2020;311885;Minas Gerais;Litro;100;Entregue
Álcool;15/04/2020;311885;Minas Gerais;Litro;94;Entregue
Álcool;15/04/2020;311885;Minas Gerais;Litro;3669;Entregue
Álcool;23/04/2020;312984;Minas Gerais;Litro;19146;Entregue
Álcool;30/04/2020;314011;Minas Gerais;Litro;3684;Entregue
Álcool;30/04/2020;314011;Minas Gerais;Litro;21924;Entregue
Álcool;14/05/2020;315566;Minas Gerais;Litro;1944;Entregue
Álcool;19/03/2020;308751;Outros Órgãos Federais;Litro;12;Entregue
Álcool;19/03/2020;308740;Outros Órgãos Federais;Litro;12;Entregue
Álcool;20/03/2020;309135;Outros Órgãos Federais;Litro;18;Entregue
Álcool;20/03/2020;309109;Outros Órgãos Federais;Litro;12;Entregue
Álcool;20/03/2020;309107;Outros Órgãos Federais;Litro;12;Entregue
Álcool;20/03/2020;309099;Outros Órgãos Federais;Litro;30;Entregue
Álcool;20/03/2020;309092;Outros Órgãos Federais;Litro;30;Entregue
Álcool;20/03/2020;309104;Outros Órgãos Federais;Litro;60;Entregue
Álcool;20/03/2020;309144;Outros Órgãos Federais;Litro;12;Entregue
Álcool;20/03/2020;309141;Outros Órgãos Federais;Litro;12;Entregue
Álcool;20/03/2020;309146;Outros Órgãos Federais;Litro;12;Entregue
Álcool;20/03/2020;309095;Outros Órgãos Federais;Litro;6;Entregue
Álcool;23/03/2020;309379;Outros Órgãos Federais;Litro;276;Entregue
Álcool;23/03/2020;309387;Outros Órgãos Federais;Litro;180;Entregue
Álcool;23/03/2020;309372;Outros Órgãos Federais;Litro;264;Entregue
Álcool;23/03/2020;309382;Outros Órgãos Federais;Litro;168;Entregue
Álcool;23/03/2020;309370;Outros Órgãos Federais;Litro;102;Entregue
Álcool;23/03/2020;309378;Outros Órgãos Federais;Litro;192;Entregue
Álcool;23/03/2020;309380;Outros Órgãos Federais;Litro;462;Entregue
Álcool;23/03/2020;309384;Outros Órgãos Federais;Litro;228;Entregue
Álcool;23/03/2020;309355;Outros Órgãos Federais;Litro;1746;Entregue
Álcool;23/03/2020;309360;Outros Órgãos Federais;Litro;120;Entregue
Álcool;23/03/2020;309400;Outros Órgãos Federais;Litro;264;Entregue
Álcool;23/03/2020;309373;Outros Órgãos Federais;Litro;276;Entregue
Álcool;23/03/2020;309374;Outros Órgãos Federais;Litro;444;Entregue
Álcool;23/03/2020;309376;Outros Órgãos Federais;Litro;168;Entregue
Álcool;23/03/2020;309377;Outros Órgãos Federais;Litro;144;Entregue
Álcool;23/03/2020;309381;Outros Órgãos Federais;Litro;246;Entregue
Álcool;23/03/2020;309383;Outros Órgãos Federais;Litro;576;Entregue
Álcool;23/03/2020;309385;Outros Órgãos Federais;Litro;114;Entregue
Álcool;23/03/2020;309392;Outros Órgãos Federais;Litro;6;Entregue
Álcool;23/03/2020;309375;Outros Órgãos Federais;Litro;186;Entregue
Álcool;23/03/2020;309386;Outros Órgãos Federais;Litro;684;Entregue
Álcool;23/03/2020;309388;Outros Órgãos Federais;Litro;456;Entregue
Álcool;23/03/2020;309391;Outros Órgãos Federais;Litro;282;Entregue
Álcool;23/03/2020;309389;Outros Órgãos Federais;Litro;180;Entregue
Álcool;23/03/2020;309390;Outros Órgãos Federais;Litro;264;Entregue
Álcool;23/03/2020;309393;Outros Órgãos Federais;Litro;90;Entregue
Álcool;23/03/2020;309371;Outros Órgãos Federais;Litro;90;Entregue
Álcool;24/03/2020;309436;Outros Órgãos Federais;Litro;134,4;Entregue
Álcool;24/03/2020;309436;Outros Órgãos Federais;Litro;696;Entregue
Álcool;26/03/2020;309787;Outros Órgãos Federais;Litro;48;Entregue
Álcool;27/03/2020;309883;Outros Órgãos Federais;Litro;499,2;Entregue
Álcool;28/03/2020;310016;Outros Órgãos Federais;Litro;12;Entregue
Álcool;28/03/2020;310021;Outros Órgãos Federais;Litro;138;Entregue
Álcool;31/03/2020;310548;Outros Órgãos Federais;Litro;12;Entregue
Álcool;31/03/2020;310619;Outros Órgãos Federais;Litro;120;Entregue
Álcool;31/03/2020;310554;Outros Órgãos Federais;Litro;4;Entregue
Álcool;10/04/2020;311366;Outros Órgãos Federais;Litro;42;Entregue
Álcool;14/04/2020;311844;Outros Órgãos Federais;Litro;0,5;Entregue
Álcool;15/04/2020;311900;Outros Órgãos Federais;Litro;15;Entregue
Álcool;15/04/2020;311978;Outros Órgãos Federais;Litro;31;Entregue
Álcool;15/04/2020;311971;Outros Órgãos Federais;Litro;31;Entregue
Álcool;15/04/2020;311900;Outros Órgãos Federais;Litro;12;Entregue
Álcool;15/04/2020;311978;Outros Órgãos Federais;Litro;222;Entregue
Álcool;15/04/2020;311978;Outros Órgãos Federais;Litro;510;Entregue
Álcool;15/04/2020;311978;Outros Órgãos Federais;Litro;510;Entregue
Álcool;15/04/2020;311971;Outros Órgãos Federais;Litro;126;Entregue
Álcool;15/04/2020;311971;Outros Órgãos Federais;Litro;1020;Entregue
Álcool;15/04/2020;311971;Outros Órgãos Federais;Litro;90;Entregue
Álcool;15/04/2020;311900;Outros Órgãos Federais;Litro;420;Entregue
Álcool;15/04/2020;311900;Outros Órgãos Federais;Litro;66;Entregue
Álcool;16/04/2020;312229;Outros Órgãos Federais;Litro;0,5;Entregue
Álcool;20/04/2020;312463;Outros Órgãos Federais;Litro;40;Entregue
Álcool;20/04/2020;312398;Outros Órgãos Federais;Litro;1506;Entregue
Álcool;20/04/2020;312400;Outros Órgãos Federais;Litro;1104;Entregue
Álcool;20/04/2020;312402;Outros Órgãos Federais;Litro;108;Entregue
Álcool;20/04/2020;312402;Outros Órgãos Federais;Litro;6;Entregue
Álcool;20/04/2020;312402;Outros Órgãos Federais;Litro;594;Entregue
Álcool;20/04/2020;312403;Outros Órgãos Federais;Litro;498;Entregue
Álcool;20/04/2020;312226;Outros Órgãos Federais;Litro;468;Entregue
Álcool;20/04/2020;312226;Outros Órgãos Federais;Litro;156;Entregue
Álcool;20/04/2020;312226;Outros Órgãos Federais;Litro;12;Entregue
Álcool;22/04/2020;312960;Outros Órgãos Federais;Litro;0,5;Entregue
Álcool;23/04/2020;313106;Outros Órgãos Federais;Litro;12936;Entregue
Álcool;23/04/2020;313082;Outros Órgãos Federais;Litro;2550;Entregue
Álcool;24/04/2020;313233;Outros Órgãos Federais;Litro;18;Entregue
Álcool;24/04/2020;313246;Outros Órgãos Federais;Litro;12;Entregue
Álcool;24/04/2020;313239;Outros Órgãos Federais;Litro;6;Entregue
Álcool;24/04/2020;313235;Outros Órgãos Federais;Litro;6;Entregue
Álcool;24/04/2020;313230;Outros Órgãos Federais;Litro;6;Entregue
Álcool;30/04/2020;313962;Outros Órgãos Federais;Litro;0,5;Entregue
Álcool;30/04/2020;314048;Outros Órgãos Federais;Litro;0,5;Entregue
Álcool;30/04/2020;314048;Outros Órgãos Federais;Litro;720;Entregue
Álcool;30/04/2020;314048;Outros Órgãos Federais;Litro;2687,5;Entregue
Álcool;04/05/2020;314058;Outros Órgãos Federais;Litro;2322;Entregue
Álcool;04/05/2020;314058;Outros Órgãos Federais;Litro;2;Entregue
Álcool;04/05/2020;314058;Outros Órgãos Federais;Litro;54,5;Entregue
Álcool;04/05/2020;314058;Outros Órgãos Federais;Litro;2270;Entregue
Álcool;04/05/2020;314058;Outros Órgãos Federais;Litro;3984;Entregue
Álcool;04/05/2020;314058;Outros Órgãos Federais;Litro;20;Entregue
Álcool;07/05/2020;314578;Outros Órgãos Federais;Litro;180;Entregue
Álcool;11/05/2020;315011;Outros Órgãos Federais;Litro;100;Entregue
Álcool;11/05/2020;315011;Outros Órgãos Federais;Litro;32;Entregue
Álcool;11/05/2020;315011;Outros Órgãos Federais;Litro;58,8;Entregue
Álcool;14/05/2020;315511;Outros Órgãos Federais;Litro;150;Entregue
Álcool;20/05/2020;316245;Outros Órgãos Federais;Litro;6;Entregue
Álcool;20/05/2020;316244;Outros Órgãos Federais;Litro;6;Entregue
Álcool;20/05/2020;316239;Outros Órgãos Federais;Litro;6;Entregue
Álcool;20/05/2020;316254;Outros Órgãos Federais;Litro;6;Entregue
Álcool;20/05/2020;316221;Outros Órgãos Federais;Litro;12;Entregue
Álcool;20/05/2020;316257;Outros Órgãos Federais;Litro;6;Entregue
Álcool;20/05/2020;316227;Outros Órgãos Federais;Litro;6;Entregue
Álcool;20/05/2020;316237;Outros Órgãos Federais;Litro;6;Entregue
Álcool;20/05/2020;316279;Outros Órgãos Federais;Litro;6;Entregue
Álcool;20/05/2020;316280;Outros Órgãos Federais;Litro;6;Entregue
Álcool;20/05/2020;316212;Outros Órgãos Federais;Litro;6;Entregue
Álcool;20/05/2020;316200;Outros Órgãos Federais;Litro;6;Entregue
Álcool;20/05/2020;316222;Outros Órgãos Federais;Litro;6;Entregue
Álcool;20/05/2020;316223;Outros Órgãos Federais;Litro;6;Entregue
Álcool;20/05/2020;316202;Outros Órgãos Federais;Litro;6;Entregue
Álcool;20/05/2020;316225;Outros Órgãos Federais;Litro;6;Entregue
Álcool;20/05/2020;316247;Outros Órgãos Federais;Litro;6;Entregue
Álcool;20/05/2020;316231;Outros Órgãos Federais;Litro;6;Entregue
Álcool;20/05/2020;316234;Outros Órgãos Federais;Litro;6;Entregue
Álcool;20/05/2020;316250;Outros Órgãos Federais;Litro;6;Entregue
Álcool;22/05/2020;316420;Outros Órgãos Federais;Litro;6;Entregue
Álcool;31/05/2020;316981;Outros Órgãos Federais;Litro;420;Entregue
Álcool;04/06/2020;317787;Outros Órgãos Federais;Litro;192;Entregue
Álcool;04/06/2020;317789;Outros Órgãos Federais;Litro;12;Entregue
Álcool;04/06/2020;317790;Outros Órgãos Federais;Litro;12;Entregue
Álcool;04/06/2020;317791;Outros Órgãos Federais;Litro;30;Entregue
Álcool;04/06/2020;317792;Outros Órgãos Federais;Litro;150;Entregue
Álcool;10/06/2020;318138;Outros Órgãos Federais;Litro;6;Entregue
Álcool;10/06/2020;318145;Outros Órgãos Federais;Litro;66;Entregue
Álcool;10/06/2020;318151;Outros Órgãos Federais;Litro;6;Entregue
Álcool;10/06/2020;318154;Outros Órgãos Federais;Litro;168;Entregue
Álcool;19/03/2020;308803;Pará;Litro;86,4;Entregue
Álcool;19/03/2020;308803;Pará;Litro;408;Entregue
Álcool;19/03/2020;308502;Pará;Litro;12;Entregue
Álcool;24/03/2020;309464;Pará;Litro;76,8;Entregue
Álcool;24/03/2020;309464;Pará;Litro;396;Entregue
Álcool;28/03/2020;309995;Pará;Litro;220,8;Entregue
Álcool;28/03/2020;309995;Pará;Litro;150;Entregue
Álcool;31/03/2020;310605;Pará;Litro;690;Entregue
Álcool;10/04/2020;311362;Pará;Litro;79,8;Entregue
Álcool;15/04/2020;311886;Pará;Litro;25;Entregue
Álcool;15/04/2020;311886;Pará;Litro;24;Entregue
Álcool;15/04/2020;311886;Pará;Litro;929;Entregue
Álcool;23/04/2020;312985;Pará;Litro;1596;Entregue
Álcool;23/04/2020;312985;Pará;Litro;468;Entregue
Álcool;23/04/2020;312985;Pará;Litro;2784;Entregue
Álcool;30/04/2020;314012;Pará;Litro;6486;Entregue
Álcool;14/05/2020;315521;Pará;Litro;606;Entregue
Álcool;19/03/2020;308810;Paraíba;Litro;38,4;Entregue
Álcool;19/03/2020;308810;Paraíba;Litro;192;Entregue
Álcool;19/03/2020;308507;Paraíba;Litro;12;Entregue
Álcool;25/03/2020;309492;Paraíba;Litro;28,8;Entregue
Álcool;25/03/2020;309492;Paraíba;Litro;192;Entregue
Álcool;28/03/2020;309996;Paraíba;Litro;105,6;Entregue
Álcool;28/03/2020;309996;Paraíba;Litro;72;Entregue
Álcool;31/03/2020;310606;Paraíba;Litro;324;Entregue
Álcool;10/04/2020;311316;Paraíba;Litro;54,6;Entregue
Álcool;15/04/2020;311887;Paraíba;Litro;15;Entregue
Álcool;15/04/2020;311887;Paraíba;Litro;16;Entregue
Álcool;15/04/2020;311887;Paraíba;Litro;623,5;Entregue
Álcool;23/04/2020;312986;Paraíba;Litro;228;Entregue
Álcool;23/04/2020;312986;Paraíba;Litro;1962;Entregue
Álcool;23/04/2020;312986;Paraíba;Litro;1062;Entregue
Álcool;30/04/2020;314013;Paraíba;Litro;4218;Entregue
Álcool;30/04/2020;314013;Paraíba;Litro;132;Entregue
Álcool;14/05/2020;315574;Paraíba;Litro;396;Entregue
Álcool;19/03/2020;308827;Paraná;Litro;28,8;Entregue
Álcool;19/03/2020;308827;Paraná;Litro;76,8;Entregue
Álcool;19/03/2020;308827;Paraná;Litro;5;Entregue
Álcool;19/03/2020;308827;Paraná;Litro;0,5;Entregue
Álcool;19/03/2020;308827;Paraná;Litro;0,5;Entregue
Álcool;19/03/2020;308827;Paraná;Litro;540;Entregue
Álcool;19/03/2020;308530;Paraná;Litro;12;Entregue
Álcool;25/03/2020;309532;Paraná;Litro;105,6;Entregue
Álcool;25/03/2020;309532;Paraná;Litro;528;Entregue
Álcool;28/03/2020;309999;Paraná;Litro;297,6;Entregue
Álcool;28/03/2020;309999;Paraná;Litro;204;Entregue
Álcool;31/03/2020;310607;Paraná;Litro;918;Entregue
Álcool;10/04/2020;311444;Paraná;Litro;163,8;Entregue
Álcool;15/04/2020;311888;Paraná;Litro;50;Entregue
Álcool;15/04/2020;311888;Paraná;Litro;47;Entregue
Álcool;15/04/2020;311888;Paraná;Litro;1855;Entregue
Álcool;23/04/2020;313071;Paraná;Litro;9678;Entregue
Álcool;30/04/2020;313995;Paraná;Litro;12948;Entregue
Álcool;14/05/2020;315581;Paraná;Litro;852;Entregue
Álcool;19/03/2020;308812;Pernambuco;Litro;86,4;Entregue
Álcool;19/03/2020;308812;Pernambuco;Litro;456;Entregue
Álcool;19/03/2020;308514;Pernambuco;Litro;12;Entregue
Álcool;25/03/2020;309493;Pernambuco;Litro;86,4;Entregue
Álcool;25/03/2020;309493;Pernambuco;Litro;438;Entregue
Álcool;28/03/2020;309997;Pernambuco;Litro;249,6;Entregue
Álcool;28/03/2020;309997;Pernambuco;Litro;168;Entregue
Álcool;31/03/2020;310608;Pernambuco;Litro;768;Entregue
Álcool;10/04/2020;311317;Pernambuco;Litro;121,8;Entregue
Álcool;15/04/2020;311889;Pernambuco;Litro;35;Entregue
Álcool;15/04/2020;311889;Pernambuco;Litro;35;Entregue
Álcool;15/04/2020;311889;Pernambuco;Litro;1373;Entregue
Álcool;23/04/2020;313072;Pernambuco;Litro;7164;Entregue
Álcool;30/04/2020;313996;Pernambuco;Litro;9582;Entregue
Álcool;14/05/2020;315576;Pernambuco;Litro;792;Entregue
Álcool;19/03/2020;308819;Piauí;Litro;28,8;Entregue
Álcool;19/03/2020;308819;Piauí;Litro;156;Entregue
Álcool;19/03/2020;308524;Piauí;Litro;12;Entregue
Álcool;25/03/2020;309494;Piauí;Litro;28,8;Entregue
Álcool;25/03/2020;309494;Piauí;Litro;156;Entregue
Álcool;28/03/2020;309998;Piauí;Litro;86,4;Entregue
Álcool;28/03/2020;309998;Piauí;Litro;60;Entregue
